comuna_id,region_id,nombre,latitud,longitud
"1","1","Arica","-18.4707","-70.2945"
"2","1","Camarones","-18.9191","-69.4532"
"3","1","General Lagos","-17.7863","-69.5452"
"4","1","Putre","-18.2052","-69.4946"
"5","2","Alto Hospicio","-20.2418","-70.0762"
"6","2","Iquique","-20.2474","-70.1187"
"7","2","Camiña","-19.2855","-69.4074"
"8","2","Colchane","-19.3585","-68.7207"
"9","2","Huara","-19.9617","-69.8691"
"10","2","Pica","-20.489","-69.3225"
"11","2","Pozo Almonte","-20.2791","-69.7609"
"12","3","Antofagasta","-23.6279","-70.3884"
"13","3","Mejillones","-23.0918","-70.4713"
"14","3","Sierra Gorda","-22.8964","-69.22"
"15","3","Taltal","-25.3617","-70.466"
"16","3","Calama","-22.4692","-68.8974"
"17","3","Ollague","-21.1947","-68.2992"
"18","3","San Pedro de Atacama","-22.9085","-68.1356"
"19","3","María Elena","-22.3501","-69.6565"
"20","3","Tocopilla","-22.0871","-70.1924"
"21","4","Chañaral","-26.3588","-70.5793"
"22","4","Diego de Almagro","-26.3699","-69.9809"
"23","4","Caldera","-27.0715","-70.817"
"24","4","Copiapó","-27.3785","-70.3159"
"25","4","Tierra Amarilla","-27.5673","-70.2154"
"26","4","Alto del Carmen","-28.8183","-70.3968"
"27","4","Freirina","-28.5618","-71.0896"
"28","4","Huasco","-28.4665","-71.2216"
"29","4","Vallenar","-28.6113","-70.7266"
"30","5","Canela","-31.4502","-71.5606"
"31","5","Illapel","-31.5777","-71.1642"
"32","5","Los Vilos","-31.9172","-71.5014"
"33","5","Salamanca","-31.8024","-70.9259"
"34","5","Andacollo","-30.2274","-71.0571"
"35","5","Coquimbo","-29.9737","-71.3156"
"36","5","La Higuera","-28.9939","-70.379"
"37","5","La Serena","-29.9063","-71.2346"
"39","5","Vicuña","-30.0258","-70.695"
"40","5","Combarbalá","-31.1422","-71.0127"
"41","5","Monte Patria","-30.7177","-70.9729"
"42","5","Ovalle","-30.5999","-71.1941"
"43","5","Punitaqui","-30.8355","-71.2746"
"44","5","Río Hurtado","-30.3834","-70.8295"
"45","6","Isla de Pascua","-27.156","-109.435"
"46","6","Calle Larga","-32.8599","-70.6264"
"47","6","Los Andes","-32.8261","-70.6012"
"48","6","Rinconada","-35.4499","-72.2658"
"49","6","San Esteban","-35.8673","-72.4348"
"50","6","La Ligua","-32.4551","-71.2428"
"51","6","Papudo","-32.5037","-71.4328"
"52","6","Petorca","-32.2454","-70.9183"
"53","6","Zapallar","-32.556","-71.4466"
"54","6","Hijuelas","-32.8213","-71.1259"
"55","6","La Calera","-32.7862","-71.2009"
"56","6","La Cruz","-32.8339","-71.23"
"57","6","Limache","-33.0043","-71.2566"
"58","6","Nogales","-32.7097","-71.2118"
"59","6","Olmué","-33.0038","-71.162"
"60","6","Quillota","-32.8849","-71.2536"
"61","6","Algarrobo","-33.3665","-71.6665"
"62","6","Cartagena","-33.5402","-71.5987"
"63","6","El Quisco","-33.4086","-71.6865"
"64","6","El Tabo","-33.4662","-71.6414"
"65","6","San Antonio","-33.5789","-71.5974"
"66","6","Santo Domingo","-33.6645","-71.626"
"67","6","Catemu","-32.7704","-70.9572"
"68","6","Llaillay","-32.8163","-70.952"
"69","6","Panquehue","-32.7742","-70.8377"
"70","6","Putaendo","-32.6256","-70.715"
"71","6","San Felipe","-32.7462","-70.7065"
"72","6","Santa María","-37.825","-73.1947"
"73","6","Casablanca","-33.3072","-71.409"
"74","6","Concón","-32.9299","-71.521"
"75","6","Juan Fernández","-33.6364","-78.8318"
"76","6","Puchuncaví","-32.7216","-71.3796"
