Puerto,Latitud,Longitud
MONTREAL,45.5031824,-73.5698065
COSTA DEL PACIFICO,32.5183785,-117.1052567
HALIFAX,44.648618,-63.5859487
VANCOUVER,49.2608724,-123.113952
SAINT JOHN,45.2787992,-66.0585188
TORONTO,43.6534817,-79.3839347
OTROS PUERTOS CANADA,,
BAYSIDE,40.7631203,-73.7707449
PORT CARTIES,50.02,-66.85
COSTA DEL ATLANTICO,25.2504795,-97.4414952
PUERTOS DEL GOLFO ME,,
QUEBEC,52.4760892,-71.8258668
PRINCE RUPERT,54.3126572,-130.32549
HAMILTON,43.2560802,-79.8728583
BOSTON,42.3554334,-71.060511
NEW HAVEN,41.3082138,-72.9250518
BRIDGEPORT,41.1792695,-73.1887863
NEW YORK,40.7127281,-74.0060152
FILADELFIA,39.9527237,-75.1635262
BALTIMORE,39.2908816,-76.610759
NORFOLK,52.666667,1.0
CHARLESTON,32.7884363,-79.9399309
SAVANAH,-6.3688266,146.7196858
MIAMI,25.7741728,-80.19362
EVERGLADES,37.9652516,-122.5042185
JACKSONVILLE,30.3321838,-81.655651
PALM BEACH,26.6279798,-80.4494174
BATON ROUGE,30.4494155,-91.1869659
COLUMBRES,11.2062859,125.012506
PITTSBURGH,40.4416941,-79.9900861
DULUTH,46.7729322,-92.1251218
MILWAUKEE,43.0386475,-87.9090751
TAMPA,27.9477595,-82.458444
PENSACOLA,30.421309,-87.2169149
MOBILE,30.6913462,-88.0437509
NEW ORLEANS,29.9759983,-90.0782127
PORT ARTHUR,29.8716577,-93.9332302
GALVESTON,29.3872254,-94.992736
CORPUS CRISTI,24.9144145,-107.6790083
BROWNSVILLE,25.9024289,-97.4981698
HOUSTON,29.7589382,-95.3676974
OAKLAND,37.8044557,-122.271356
STOCKTON,37.9577016,-121.290779
SEATTLE,47.6038321,-122.330062
PORTLAND,45.5202471,-122.674194
SAN FRANCISCO,37.7792588,-122.4193286
LOS ANGELES,34.0536909,-118.242766
LONG BEACH,33.7690164,-118.191604
SAN DIEGO,32.7174202,-117.162772
OTROS PUERTOS EE.UU.,,
LOS VILOS,-31.9121611,-71.5138887
PATACHE,12.2582872,119.8811503
CALBUCO,-41.7712143,-73.1275379
MICHILLA,-22.7250682,-70.2792294
PUERTO ANGAMOS,-23.0703653,-70.3823992
POSEIDON,57.6971779,11.979591
TRES PUENTES,8.7412004,-71.4649701
OTROS PUERTOS MEXICO,,
TAMPICO,41.6324811,-89.7850393
VERACRUZ,19.333333,-96.666667
COATZACOALCOS,18.1405019,-94.4344003
GUAYMAS,27.9216441,-110.8994059
MAZATLAN,23.2035785,-106.4208391
MANZANILLO,41.586343,-4.189038
ACAPULCO,16.8680495,-99.8940182
"GOLFO DE MEXICO,OTRO",,
ALTAMIRA,43.3768445,-4.1197476
CRISTOBAL,40.4692924,-5.8898816
BALBOA,42.7062532,-6.9228651
COLON,41.2974531,-96.6094912
OTROS PTOS. PANAMA,,
OTROS PTOS. COLOMBIA,,
BUENAVENTURA,40.1766024,-4.8498756
BARRANQUILLA,11.0101922,-74.8231794
OTROS PTOS. ECUADOR,,
GUAYAQUIL,-2.2895167,-80.0983887
OTROS PTOS. DE PERU,,
CALLAO,-12.0864633,-77.2234463
ILO,-17.5833671,-71.2358866
IQUITOS,-3.749365,-73.2444145
OTROS PTOS.ARGENTINA,,
BUENOS AIRES,-34.6083696,-58.4440583
NECOCHEA,-38.5545494,-58.7392624
MENDOZA,-34.787093,-68.4381868
CORDOBA,37.8845813,-4.7760138
BAHIA BLANCA,-38.7176522,-62.2654871
COMODORO RIVADAVIA,-45.8632024,-67.4752615
PUERTO MADRYN,-42.7673414,-65.0365942
MAR DEL PLATA,-37.9976168,-57.5482079
ROSARIO,-32.9593609,-60.6617024
OTROS PTOS.URUGUAY,,
MONTEVIDEO,-34.9058916,-56.1913095
OTROS PTOS.VENEZUELA,,
LA GUAIRA,10.6000384,-66.9296405
MARACAIBO,10.6498095,-71.6443596
OTROS PTOS.BRASIL,,
SANTOS,-23.9335988,-46.3286399
RIO DE JANEIRO,-22.9110137,-43.2093727
RIO GRANDE DEL SUR,-29.8425284,-53.7680577
PARANAGUA,-25.5148822,-48.5226695
SAO PAULO,-23.5506507,-46.6333824
SALVADOR,13.8000382,-88.9140683
OTROS ANT.HOLANDESA,,
CURAZAO,12.1176488,-68.9309263
OTROS PTOS.AMERICA,,
SHANGAI,31.2312707,121.4700152
DAIREN,35.6487718,139.7455388
OTROS PTOS.DE CHINA,,
OTROS PUERT COREA N,,
NAMPO,38.7367448,125.4115285
BUSAN,35.1799528,129.0752365
OTROS PTOS. COREA S,,
MANILA,14.5904492,120.9803621
OTROS PTOS.FILIPINAS,,
OTROS PTOS.JAPONESES,,
OSAKA,34.6937569,135.5014539
KOBE,34.6932379,135.1943764
YOKOHAMA,35.4503381,139.6343802
NAGOYA,35.1851045,136.8998438
SHIMIZUI,35.9417531,139.6116774
MOJI,33.9040122,130.933058
YAWATA,34.8754849,135.7075487
FUKUYAMA,34.4857039,133.3623097
KAOHSIUNG,22.6203348,120.3120375
KEELUNG,25.1317232,121.744652
OTROS PTOS.TAIWAN,,
KARHG ISLAND,29.3333,50.5000
OTROS PTO.IRAN NO ES,,
CALCUTA,22.5726459,88.3638953
OTROS PTOS. DE INDIA,,
